asset_description,asset_abbreviation,dbo_entity_type,can_be_connected,ifc_class,ifc_type,ifc_version,IFC2x3,IFC4.3
controller - room controller,ROC,,1,IfcController,NOTDEFINED,"2x3,4x1,4.3",IfcControllerType.USERDEFINED,IfcControllerType.USERDEFINED
controller - programmable logic controller,PLC,,1,IfcController,PROGRAMMABLE,"4x1,4.3",IfcControllerType.USERDEFINED,IfcControllerType.PROGRAMMABLE
cooking appliance - bratt pan,CKBP,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
cooking appliance - chargrill,CKCGR,,0,IfcFlowTerminal,NOTDEFINED,,IfcGasTerminalType.GASAPPLIANCE,
cooking appliance - combination microwave/high speed oven,CKCMWO,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - combination oven,CKCMOV,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - convection oven,CKCVOV,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - deck/pizza oven,CKDOVN,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - dim sum steamer,CKDSTE,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
cooking appliance - fry dump,CKFRYD,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - fryer,CKFRY,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - gas range,CKGRCK,,0,IfcFlowTerminal,NOTDEFINED,,IfcGasTerminalType.GASAPPLIANCE,
cooking appliance - gas wok range,CKGWR,,0,IfcFlowTerminal,NOTDEFINED,,IfcGasTerminalType.GASAPPLIANCE,
cooking appliance - griddle,CKGRD,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
cooking appliance - hearth oven,CKHOVN,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - impinger conveyor oven,CKICOV,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - induction,CKIU,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - induction range,CKIRCK,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - induction wok,CKIW,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - kettle,CKKET,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
cooking appliance - mobile cook station,KMCS,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - pasta cooker,CKPC,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - potato oven,CKPOVN,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - pressure bratt pan,CKPBP,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
cooking appliance - pressure steamer,CKPSTE,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
cooking appliance - rice cooker,CKRC,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - rotisserie,CKROT,,0,IfcFlowTerminal,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
cooking appliance - salamander grill,CKSGRL,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
cooking appliance - steamer,CKSTE,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
cooking appliance - tandoori oven,CKTOVN,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
damper,DMP,HVAC/DMP,1,IfcDamper,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcDamperType.USERDEFINED,IfcDamperType.NOTDEFINED","IfcDamperType.USERDEFINED,IfcDamperType.NOTDEFINED"
damper - bypass control damper,BYCD,HVAC/DMP,1,IfcDamper,CONTROLDAMPER,"2x3,4x1,4.3",IfcDamperType.CONTROLDAMPER,IfcDamperType.CONTROLDAMPER
damper - exhaust damper,EXD,HVAC/DMP,1,IfcDamper,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcDamperType.USERDEFINED,IfcDamperType.NOTDEFINED","IfcDamperType.USERDEFINED,IfcDamperType.NOTDEFINED"
damper - fire damper,FD,SAFETY/FD,1,IfcDamper,FIREDAMPER,"2x3,4x1,4.3",IfcDamperType.FIREDAMPER,IfcDamperType.FIREDAMPER
damper - inlet control damper,ICD,HVAC/DMP,1,IfcDamper,CONTROLDAMPER,"2x3,4x1,4.3",IfcDamperType.CONTROLDAMPER,IfcDamperType.CONTROLDAMPER
damper - inlet isolation damper,IISD,HVAC/DMP,1,IfcDamper,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcDamperType.USERDEFINED,IfcDamperType.NOTDEFINED","IfcDamperType.USERDEFINED,IfcDamperType.NOTDEFINED"
damper - motorised damper,MD,HVAC/DMP,1,IfcDamper,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcDamperType.USERDEFINED,IfcDamperType.NOTDEFINED","IfcDamperType.USERDEFINED,IfcDamperType.NOTDEFINED"
damper - motorised fire smoke damper,MFSD,HVAC/DMP,1,IfcDamper,FIRESMOKEDAMPER,"2x3,4x1,4.3",IfcDamperType.FIRESMOKEDAMPER,IfcDamperType.FIRESMOKEDAMPER
damper - motorised smoke control damper,MSCD,HVAC/DMP,1,IfcDamper,SMOKEDAMPER,"2x3,4x1,4.3",IfcDamperType.SMOKEDAMPER,IfcDamperType.SMOKEDAMPER
damper - motorised smoke damper,MSD,HVAC/DMP,1,IfcDamper,SMOKEDAMPER,"2x3,4x1,4.3",IfcDamperType.SMOKEDAMPER,IfcDamperType.SMOKEDAMPER
damper - pressure relief dampers,PRLD,HVAC/DMP,1,IfcDamper,RELIEFDAMPER,"2x3,4x1,4.3",IfcDamperType.RELIEFDAMPER,IfcDamperType.RELIEFDAMPER
damper - recirculation control damper,RECD,HVAC/DMP,1,IfcDamper,CONTROLDAMPER,"2x3,4x1,4.3",IfcDamperType.CONTROLDAMPER,IfcDamperType.CONTROLDAMPER
damper - return control damper,RTCD,HVAC/DMP,1,IfcDamper,CONTROLDAMPER,"2x3,4x1,4.3",IfcDamperType.CONTROLDAMPER,IfcDamperType.CONTROLDAMPER
damper - return isolation damper,RTISD,HVAC/DMP,1,IfcDamper,CONTROLDAMPER,"2x3,4x1,4.3",IfcDamperType.CONTROLDAMPER,IfcDamperType.CONTROLDAMPER
damper - volume control damper,VCD,HVAC/DMP,1,IfcDamper,BALANCINGDAMPER,"2x3,4x1,4.3",IfcDamperType.BALANCINGDAMPER,IfcDamperType.BALANCINGDAMPER
data processing unit / computer,DPU,,1,IfcCommunicationsAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.USERDEFINED
dehumidifier,DHUM,,1,IfcUnitaryEquipment,DEHUMIDIFIER,"4x1,4.3",IfcElectricDistributionPoint.USERDEFINED,IfcUnitaryEquipmentType.DEHUMIDIFIER
dispenser,DISP,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
dispenser - broth,DISPB,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
dispenser - cereal,DISPC,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
dispenser - ice/beverage,DISPIB,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
dispenser - juice,DISPJ,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
dispenser - milk,DISPMK,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
dispenser - soft serve ice cream,DISPIC,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
dispenser - water,DISPW,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
distribution data - coaxial cable,COAXCA,,0,IfcCableSegment,NOTDEFINED,4.3,IfcCableSegmentType.FIBERTUBE,IfcCableSegmentType.FIBERTUBE
distribution data - data cable,DCA,,0,IfcCableSegment,NOTDEFINED,4.3,IfcCableSegmentType.FIBERTUBE,IfcCableSegmentType.FIBERTUBE
distribution electric - cable,CA,,0,IfcCableSegment,NOTDEFINED,4.3,IfcCableSegmentType.FIBERTUBE,IfcCableSegmentType.FIBERTUBE
distribution electric - fire rated cable,FCA,,0,IfcCableSegment,NOTDEFINED,4.3,IfcCableSegmentType.FIBERTUBE,IfcCableSegmentType.FIBERTUBE
distribution piped services - pipework,PW,,0,IfcPipeSegment,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPipeSegmentType.NOTDEFINED,IfcPipeSegmentType.USERDEFINED","IfcPipeSegmentType.NOTDEFINED,IfcPipeSegmentType.USERDEFINED"
distribution ventilation - ductwork,DUW,,0,IfcDuctSegment,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcDuctSegmentType.NOTDEFINED,IfcDuctSegmentType.USERDEFINED","IfcDuctSegmentType.NOTDEFINED,IfcDuctSegmentType.USERDEFINED"
distribution ventilation - ductwork fire rated,FDUW,,0,IfcDuctSegment,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcDuctSegmentType.NOTDEFINED,IfcDuctSegmentType.USERDEFINED","IfcDuctSegmentType.NOTDEFINED,IfcDuctSegmentType.USERDEFINED"
door,DR,,1,IfcDoor,DOOR,"4x1,4.3","IfcDoorStyle.USERDEFINED,IfcDoorStyle.NOTDEFINED",IfcDoorType.DOOR
door - electromagnetic door holder,EMDH,,1,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
door - fire door,FDR,SAFETY/FDR,1,IfcDoor,NOTDEFINED,"4x1,4.3","IfcDoorStyle.USERDEFINED,IfcDoorStyle.NOTDEFINED",IfcDoorType.DOOR
door - magnetic lock,MLOCK,,1,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
drinking fountain / bottle filler,DF,,0,IfcSanitaryTerminal,SANITARYFOUNTAIN,"2x3,4x1,4.3",IfcSanitaryTerminalType.SANITARYFOUNTAIN,IfcSanitaryTerminalType.SANITARYFOUNTAIN
duct silencer - attenuator,SLCR,,0,IfcDuctSilencer,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcDuctSilencerType.NOTDEFINED,IfcDuctSilencerType.USERDEFINED","IfcDuctSilencerType.NOTDEFINED,IfcDuctSilencerType.USERDEFINED"
dx system - branch controller/selector box,BCBOX,,1,IfcUnitaryEquipment,SPLITSYSTEM,"2x3,4x1,4.3",IfcUnitaryEquipmentType.SPLITSYSTEM,IfcUnitaryEquipmentType.SPLITSYSTEM
dx system - hybrid variable refrigerant flow unit,HVRF,,1,IfcUnitaryEquipment,SPLITSYSTEM,"2x3,4x1,4.3",IfcUnitaryEquipmentType.SPLITSYSTEM,IfcUnitaryEquipmentType.SPLITSYSTEM
dx system - variable refrigerant flow unit,VRF,,1,IfcUnitaryEquipment,SPLITSYSTEM,"2x3,4x1,4.3",IfcUnitaryEquipmentType.SPLITSYSTEM,IfcUnitaryEquipmentType.SPLITSYSTEM
dx system - variable refrigerant volume unit,VRV,,1,IfcUnitaryEquipment,SPLITSYSTEM,"2x3,4x1,4.3",IfcUnitaryEquipmentType.SPLITSYSTEM,IfcUnitaryEquipmentType.SPLITSYSTEM
electric appliance,EAPPL,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.NOTDEFINED","IfcElectricApplianceType.NOTDEFINED,IfcElectricApplianceType.USERDEFINED"
electric appliance - air dryer,ADY,HVAC/ADY,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
electric appliance - dishwasher,DW,,0,IfcElectricAppliance,DISHWASHER,"2x3,4x1,4.3",IfcElectricApplianceType.DISHWASHER,IfcElectricApplianceType.DISHWASHER
electric appliance - electronic point of sale,EPOS,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
electric appliance - exercise / gym equipment,GYMEQ,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
electric appliance - food equipment,FOODEQ,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
electric appliance - fryer,FRY,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
electric appliance - generic vending machine,VEND,,0,IfcElectricAppliance,VENDINGMACHINE,"2x3,4x1,4.3",IfcElectricApplianceType.VENDINGMACHINE,IfcElectricApplianceType.VENDINGMACHINE
electric appliance - hand dryer,HDY,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
electric appliance - oven,OVN,,0,IfcElectricAppliance,ELECTRICCOOKER,"2x3,4x1,4.3",IfcElectricApplianceType.ELECTRICCOOKER,IfcElectricApplianceType.ELECTRICCOOKER
electric appliance - scanning device,SCAN,,0,IfcCommunicationsAppliance,SCANNER,"4x1,4.3",IfcElectricApplianceType.SCANNER,IfcCommunicationsApplianceType.SCANNER
electric appliance - steamer,STE,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
electric distribution - EVC electric vehicle charging distribution panel,EVDP,ELECTRICAL/PANEL,1,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.DISTRIBUTIONBOARD
electric distribution - EVC electric vehicle charging equipment,EVCE,,1,IfcOutlet,POWEROUTLET,"2x3,4x1,4.3",IfcOutletType.POWEROUTLET,IfcOutletType.POWEROUTLET
electric distribution - active harmonic filter,AHF,,1,IfcElectricFlowStorageDevice,HARMONICFILTER,"2x3,4x1,4.3",IfcElectricFlowStorageDeviceType.HARMONICFILTER,IfcElectricFlowStorageDeviceType.HARMONICFILTER
electric distribution - automatic transfer switch,ATS,,1,IfcProtectiveDevice,NOTDEFINED,"2x3,4x1,4.3",IfcProtectiveDeviceType.USERDEFINED,IfcProtectiveDeviceType.USERDEFINED
electric distribution - branch circuit panel board 120/208V,LVCPB,ELECTRICAL/PANEL,0,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.DISTRIBUTIONBOARD
electric distribution - branch circuit panel board 277/480V,HVCPB,ELECTRICAL/PANEL,0,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.DISTRIBUTIONBOARD
electric distribution - busbar,BB,,0,IfcCableSegment,BUSBARSEGMENT,4.3,IfcCableSegmentType.USERDEFINED,IfcCableSegmentType.BUSBARSEGMENT
electric distribution - busbar tapoff,BBTO,,0,IfcCableSegment,BUSBARSEGMENT,4.3,IfcCableSegmentType.USERDEFINED,IfcCableSegmentType.BUSBARSEGMENT
electric distribution - dc-dc converter,DCDC,,0,IfcTransformerType,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcTransformerType.NOTDEFINED,IfcTransformerType.USERDEFINED","IfcTransformerType.NOTDEFINED,IfcTransformerType.USERDEFINED"
electric distribution - distribution panel / board,DB,ELECTRICAL/PANEL,1,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.DISTRIBUTIONBOARD
electric distribution - distribution panel / board - consumer unit,CU,ELECTRICAL/PANEL,1,IfcElectricDistributionBoard,CONSUMERUNIT,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.CONSUMERUNIT
electric distribution - distribution panel 120/208V,LVDP,ELECTRICAL/PANEL,1,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.DISTRIBUTIONBOARD
electric distribution - distribution panel 277/480V,HVDP,ELECTRICAL/PANEL,1,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.DISTRIBUTIONBOARD
electric distribution - distribution panel for itc equipment,ITDP,ELECTRICAL/PANEL,1,IfcElectricDistributionBoard,NOTDEFINED,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.USERDEFINED
electric distribution - electric switch,ELSW,,1,IfcSwitchingDevice,TOGGLESWITCH,"2x3,4x1,4.3",IfcSwitchingDeviceType.TOGGLESWITCH,IfcSwitchingDeviceType.TOGGLESWITCH
electric distribution - high voltage switchboard,HVSB,,1,IfcElectricDistributionBoard,SWITCHBOARD,"4x1,4.3",IfcElectricDistributionPoint.SWITCHBOARD,IfcElectricDistributionBoardType.SWITCHBOARD
electric distribution - invertor,IVT,,1,IfcTransformerType,INVERTER,"4x1,4.3",IfcTransformerType.INVERTER,IfcTransformerType.INVERTER
electric distribution - kitchen electric distribution panel/board,KDP,ELECTRICAL/PANEL,1,IfcElectricDistributionBoard,NOTDEFINED,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.USERDEFINED
electric distribution - load bank,LB,,1,IfcElectricFlowStorageDevice,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcElectricFlowStorageDeviceType.USERDEFINED,IfcElectricFlowStorageDeviceType.NOTDEFINED","IfcElectricFlowStorageDeviceType.USERDEFINED,IfcElectricFlowStorageDeviceType.NOTDEFINED"
electric distribution - low voltage switchboard,LVSB,,1,IfcElectricDistributionBoard,SWITCHBOARD,"4x1,4.3",IfcElectricDistributionPoint.SWITCHBOARD,IfcElectricDistributionBoardType.SWITCHBOARD
electric distribution - main panel / board,MPNL,ELECTRICAL/PANEL,1,IfcElectricDistributionBoard,NOTDEFINED,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.USERDEFINED
electric distribution - main switch panel,MSP,ELECTRICAL/PANEL,1,IfcElectricDistributionBoard,SWITCHBOARD,"4x1,4.3",IfcElectricDistributionPoint.SWITCHBOARD,IfcElectricDistributionBoardType.SWITCHBOARD
electric distribution - mains distribution unit,MDU,,1,IfcElectricDistributionBoard,NOTDEFINED,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.USERDEFINED
electric distribution - mains switchboard,MSB,,1,IfcElectricDistributionBoard,SWITCHBOARD,"4x1,4.3",IfcElectricDistributionPoint.SWITCHBOARD,IfcElectricDistributionBoardType.SWITCHBOARD
electric distribution - mechanical distribution panel / board,MDP,ELECTRICAL/PANEL,1,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.DISTRIBUTIONBOARD
electric distribution - medium voltage switchboard,MVSB,,1,IfcElectricDistributionBoard,SWITCHBOARD,"4x1,4.3",IfcElectricDistributionPoint.SWITCHBOARD,IfcElectricDistributionBoardType.SWITCHBOARD
electric distribution - panel board,PB,,1,IfcElectricDistributionBoard,NOTDEFINED,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.USERDEFINED
electric distribution - passive harmonic filter,PHF,,0,IfcElectricFlowStorageDevice,HARMONICFILTER,"2x3,4x1,4.3",IfcElectricFlowStorageDeviceType.HARMONICFILTER,IfcElectricFlowStorageDeviceType.HARMONICFILTER
electric distribution - power distribution unit,PDU,,1,IfcElectricDistributionBoard,NOTDEFINED,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.USERDEFINED
electric distribution - power factor correction system,PFC,,0,IfcElectricFlowTreatmentDevice,NOTDEFINED,4.3,IfcElectricDistributionPoint.CONTROLPANEL,IfcElectricFlowTreatmentDeviceType.USERDEFINED
electric distribution - rectifier,REC,,0,IfcTransformerType,RECTIFIER,"4x1,4.3",IfcTransformerType.USERDEFINED,IfcTransformerType.RECTIFIER
electric distribution - rising busbar,RBB,,0,IfcCableSegment,BUSBARSEGMENT,4.3,IfcCableSegmentType.USERDEFINED,IfcCableSegmentType.BUSBARSEGMENT
electric distribution - static transfer switch,STS,,1,IfcSwitchingDevice,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED"
electric distribution - switchgear (12kv typ),SWGR,,1,IfcElectricDistributionBoard,SWITCHBOARD,"4x1,4.3",IfcElectricDistributionPoint.SWITCHBOARD,IfcElectricDistributionBoardType.SWITCHBOARD
electric distribution - unit substation,USS,ELECTRICAL/PANEL,1, IfcUnitaryEquipment,USERDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED"
electric distribution - ups panel / board,UPSB,ELECTRICAL/PANEL,1,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.DISTRIBUTIONBOARD
electric protective device - circuit breaker,CB,,1,IfcProtectiveDevice,CIRCUITBREAKER,"2x3,4x1,4.3",IfcProtectiveDeviceType.CIRCUITBREAKER,IfcProtectiveDeviceType.CIRCUITBREAKER
electric protective device - disconnect fuse,DSCTF,,0,IfcProtectiveDevice,FUSEDISCONNECTOR,"2x3,4x1,4.3",IfcProtectiveDeviceType.FUSEDISCONNECTOR,IfcProtectiveDeviceType.FUSEDISCONNECTOR
electric protective device - electrical isolator (disconnector),EISO,,0,IfcSwitchingDevice,SWITCHDISCONNECTOR,"2x3,4x1,4.3",IfcSwitchingDeviceType.SWITCHDISCONNECTOR,IfcSwitchingDeviceType.SWITCHDISCONNECTOR
electric protective device - high temperature cut out switch,HTCO,,0,IfcSwitchingDevice,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED"
electric protective device - isolation transformer,EISOTX,,0,IfcProtectiveDevice,NOTDEFINED,"2x3,4x1,4.3",IfcProtectiveDeviceType.USERDEFINED,IfcProtectiveDeviceType.USERDEFINED
electric protective device - miniature circuit breaker,MCB,,1,IfcProtectiveDevice,CIRCUITBREAKER,"2x3,4x1,4.3",IfcProtectiveDeviceType.CIRCUITBREAKER,IfcProtectiveDeviceType.CIRCUITBREAKER
electric protective device - residual current circuit breaker,RCCB,,1,IfcProtectiveDevice,RESIDUALCURRENTCIRCUITBREAKER,"2x3,4x1,4.3",IfcProtectiveDeviceType.RESIDUALCURRENTCIRCUITBREAKER,IfcProtectiveDeviceType.RESIDUALCURRENTCIRCUITBREAKER
electric protective device - residual current circuit breaker with over-current,RCBO,,1,IfcProtectiveDevice,RESIDUALCURRENTCIRCUITBREAKER,"2x3,4x1,4.3",IfcProtectiveDeviceType.RESIDUALCURRENTCIRCUITBREAKER,IfcProtectiveDeviceType.RESIDUALCURRENTCIRCUITBREAKER
electric protective device - safety switch or disconnect switch,DSCTS,,0,IfcSwitchingDevice,SWITCHDISCONNECTOR,"2x3,4x1,4.3",IfcSwitchingDeviceType.SWITCHDISCONNECTOR,IfcSwitchingDeviceType.SWITCHDISCONNECTOR
electric protective device - safety switch or disconnect switch - emergency stop button,ESB,,0,IfcSwitchingDevice,SWITCHDISCONNECTOR,"2x3,4x1,4.3",IfcSwitchingDeviceType.SWITCHDISCONNECTOR,IfcSwitchingDeviceType.SWITCHDISCONNECTOR
